,index,smiles,descriptors,fitnesses,generation,origin,reaction / parent,parent
48,81,CN(C)S(=O)(=O)CCN1CCN(c2ccccn2)CC1,"[0.22165559679999988, 0.09916666666666685, 0.4053571428571429, 0.44848666666666726]",0.3557692307692308,1,mutation,[*:1]~[*:2]>>[*:1]C[*:2],CN(C)S(=O)(=O)CN1CCN(c2ccccn2)CC1
49,77,CC(CN1CCN(S(=O)(=O)CN2CCN(C)CC2)CC1)c1ccccc1,"[0.47037756746666654, 0.24040000000000047, 0.33642857142857147, 0.7302977777777784]",0.325,1,mutation,[*;!H0:1]>>[*:1]-C,CN1CCN(CS(=O)(=O)N2CCN(CCc3ccccc3)CC2)CC1
50,0,Cc1ccc(S(=O)(=O)N(C)C)cc1NC(=O)CN1CCN(C)CC1,"[0.3914320051272729, 0.15520333333333347, 0.5211428571428571, 0.6068722222222228]",0.4423076923076923,1,crossover,CN1CCN(CC(=O)Nc2cc(S(=O)(=O)N(C)C)ccc2Cl)CC1,CN1CCN(CCC(=O)NN2c3ccccc3Sc3cc(O)ccc32)CC1
51,5,CN1CCN(CC(=O)N(C)c2cc(S(=O)(=O)N(C)C)ccc2Cl)CC1,"[0.49434421012121216, 0.2167500000000001, 0.45835714285714285, 0.6630200000000007]",0.4339622641509434,1,crossover,CN(C(=O)CN1CCN(c2ccccn2)CC1)c1cc(S(=O)(=O)N(C)C)ccc1Cl,CC1CCN(CCCN2c3ccccc3Sc3ccc(S(C)(=O)=O)cc32)CC1
52,149,CN(C)S(=O)(=O)c1ccc(Cl)c(C(N)=O)c1,"[0.11217542694545463, 0.19820000000000007, 0.5747857142857142, 0.2315855555555558]",0.26,1,crossover,CN(C)S(=O)(=O)c1ccc(Cl)c(CN2CCN(c3ccccn3)CC2)c1,CS(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(C(N)=O)CC1)c1ccccc1S2
53,78,CN(C)S(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(C(N)=O)CC1)c1ccccc1S2,"[0.7550785843030303, 0.6045000000000003, 0.6210714285714287, 0.976235555555556]",0.4957264957264957,1,crossover,CN(C)S(=O)(=O)c1ccc(Cl)c(CN2CCN(c3ccccn3)CC2)c1,CS(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(C(N)=O)CC1)c1ccccc1S2
54,42,CS(=O)(=O)c1ccc2c(c1)N(C(=O)N=N)c1ccccc1S2,"[0.3273460097333336, 0.723961666666667, 0.6475714285714286, 0.47555000000000025]",0.3394495412844037,1,mutation,[*;!H0:1]~[*:2]>>[*:1]=N-[*:2],CS(=O)(=O)c1ccc2c(c1)N(C(N)=O)c1ccccc1S2
55,44,CN(C)S(=O)(=O)c1ccc(Cl)c(NC(=O)NC(=O)c2ccccn2)c1,"[0.4759098595151515, 0.40786666666666666, 0.7747857142857144, 0.589407777777778]",0.2966101694915254,1,crossover,CCCN1CCN(S(=O)(=O)c2ccc3c(c2)C(=O)C(=O)N3C)CC1,CN(C)S(=O)(=O)c1ccc(Cl)c(NC(=O)c2ccccn2)c1
56,46,CN1CCN(CCN2CCN(CCN3CCN(c4ccccn4)CC3)CC2)CC1,"[0.5343233159030304, 0.09476666666666751, 0.23092857142857146, 0.8856333333333342]",0.2302158273381295,1,crossover,CN1CCN(CCN2CCN(c3ccccn3)CC2)CC1,CS(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(C(N)=O)CC1)c1ccccc1S2
57,51,CN1CCN(CCc2ccc3ccccc3c2)CC1,"[0.08841908698181813, 0.5216166666666667, 0.04628571428571429, 0.4621000000000006]",0.42424242424242425,1,crossover,CS(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(C(N)=O)CC1)c1ccccc1S2,CN1CCN(CCCc2ccc3ccccc3c2)CC1
58,61,CN1CCN(c2ccc(S(=O)(=O)N(C)C)cc2NC(=O)c2ccccn2)CC1,"[0.5399024565454545, 0.3059999999999999, 0.6132142857142858, 0.7690555555555559]",0.4553571428571429,1,crossover,CCN(CC)S(=O)(=O)c1ccc(N2CCN(C)CC2)c(C=NC(=O)Nc2ccccc2F)c1,CN(C)S(=O)(=O)c1ccc(Cl)c(NC(=O)c2ccccn2)c1
59,72,CN(C)S(=O)(=O)c1ccc(Cl)c(NC(=O)c2ccc(Cl)c(NC(=O)c3ccccn3)c2)c1,"[0.8092199436848485, 0.7738833333333338, 0.7747857142857144, 0.9324466666666669]",0.2814814814814815,1,crossover,CN(C(=O)CN1CCN(c2ccccn2)CC1)c1cc(S(=O)(=O)N(C)C)ccc1Cl,CN(C)S(=O)(=O)c1ccc(Cl)c(NC(=O)c2ccccn2)c1
60,73,C=NS(=O)(=O)c1ccc2c(c1)N(C(N)=O)c1ccccc1S2,"[0.3273460097333336, 0.5428833333333335, 0.6630714285714286, 0.505157777777778]",0.3272727272727273,1,mutation,[*;!H0:1]~[*:2]>>[*:1]=N-[*:2],CS(=O)(=O)c1ccc2c(c1)N(C(N)=O)c1ccccc1S2
61,37,CN(C)S(=O)(=O)c1ccc(Cl)c(CCN2CCN(c3ccccn3)CC2)c1,"[0.5549656809696971, 0.4750000000000001, 0.4053571428571429, 0.7657644444444449]",0.4770642201834863,1,crossover,CN(C(=O)CN1CCN(c2ccccn2)CC1)c1cc(S(=O)(=O)N(C)C)ccc1Cl,CN(C)S(=O)(=O)c1ccc(Cl)c(CN2CCN(c3ccccn3)CC2)c1
62,73,CN1c2ccccc2Sc2ccc(S(=O)(=O)C(N)O)cc21,"[0.2940744979030302, 0.40456666666666674, 0.5973571428571429, 0.471666666666667]",0.3619047619047619,10,mutation,[*:1]!-[*:2]>>[*:1]-[*:2],CN1c2ccccc2Sc2ccc(S(=O)(=O)C(N)=O)cc21
63,72,Cc1ccc(S(=O)(=O)N(C)C)cc1-c1ccc2c(c1)N(S(=O)(=O)C(N)=O)c1ccccc1S2,"[0.842619193248485, 0.7372533333333338, 0.8417857142857142, 0.9855000000000003]",0.4,10,crossover,Cc1ccc(S(=O)(=O)N(C)C)cc1C(N)=O,CN(C)S(=O)(=O)c1ccc2c(c1)N(S(=O)(=O)C(N)=O)c1ccccc1S2
64,67,CCCCCN1c2ccccc2Sc2ccc(S(=O)(=O)C(N)=O)cc21,"[0.4578531348484847, 0.8053166666666672, 0.5747857142857142, 0.6700800000000006]",0.3478260869565217,10,crossover,CN1CCN(CCN2c3ccccc3Sc3ccc(S(=O)(=O)C(N)=O)cc32)CC1,CCCC(=O)NN1c2ccccc2Sc2cc(OC)ccc21
65,66,CN1CCN(Cc2cc(S(=O)(=O)N(C)Cl)ccc2Cl)CC1,"[0.3819924339636364, 0.39361666666666667, 0.31328571428571433, 0.5003088888888895]",0.405940594059406,10,crossover,CC(=O)NCC(=O)Nc1cc(S(=O)(=O)N(C)C)ccc1Cl,CN1CCN(Cc2cc(S(=O)(=O)N(C)C)ccc2Cl)CC1
66,65,CN(C)S(=O)(=O)c1ccc(CCO)c(C(N)=O)c1,"[0.1426759939151516, 0.01176666666666685, 0.7192857142857142, 0.2958055555555559]",0.2692307692307692,10,crossover,CN(C)S(=O)(=O)c1ccc(CCN2CCN(c3ccccn3)CC2)c(C(N)O)c1,CN(C)S(=O)(=O)c1ccc(CCN2CCN(c3ccccn3)CC2)c(C(N)=O)c1
67,61,CN1CCN(CCN(O)c2cc(S(=O)(=O)N(C)C)ccc2Cl)CC1,"[0.4579805737575758, 0.2555500000000001, 0.4809285714285714, 0.6154922222222229]",0.4851485148514851,10,crossover,CN1CCN(CCc2cc(S(=O)(=O)N(C)C)ccc2Cl)CC1,CN1CCN(CCN(O)c2cc(-c3cc(S(=O)(=O)N(C)C)ccc3Cl)ccc2Cl)CC1
68,53,CN1CCN(CCN2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,"[0.6277738428363634, 0.5478333333333335, 0.33642857142857147, 0.8758088888888895]",0.6868686868686869,10,crossover,CN1CCN(CCc2ccc3ccccc3c2)CC1,CCCN1c2ccccc2Sc2ccc(S(=O)(=O)N(C)C)cc21
69,46,CN1CCN(CCN2CCN(CCc3cccc(S(=O)(=O)N(C)C)c3)CC2)CC1,"[0.6008084740121212, 0.14073333333333396, 0.3595714285714286, 0.8648422222222231]",0.4152542372881356,10,crossover,CN1CCN(CCc2cccc(S(=O)(=O)N(C)C)c2)CC1,CN1CCN(CCN(O)c2cc(S(=O)(=O)N(C)C)ccc2Cl)CC1
70,44,CCC(N)N1c2ccccc2Sc2ccc(S(=O)(=O)C(N)O)cc21,"[0.4245054044484847, 0.4154, 0.7832142857142858, 0.6088044444444448]",0.33628318584070804,10,mutation,[*:1]!-[*:2]>>[*:1]-[*:2],CCC(N)N1c2ccccc2Sc2ccc(S(=O)(=O)C(N)=O)cc21
71,40,CNc1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2,"[0.43394990271515155, 0.7447500000000006, 0.15535714285714286, 0.8012633333333338]",0.4770642201834863,10,crossover,CNc1ccc2c(c1)N(CCN1CCN(C)CC1)c1ccccc1S2,CN1CCN(CCN2CCN(CN3CCN(c4ccccn4)CC3)CC2)CC1
72,77,CC(P)c1ccc(S(=O)(=O)N(C)C)cc1CCN1CCN(C)CC1,"[0.4429685903939394, 0.36048333333333343, 0.31328571428571433, 0.7008977777777784]",0.4851485148514851,10,mutation,[*;!H0:1]>>[*:1]-C,CN1CCN(CCc2cc(S(=O)(=O)N(C)C)ccc2CP)CC1
73,38,CCCCCC(=O)NN1c2ccccc2Sc2cc(OS(=O)(=O)C(N)=O)ccc21,"[0.6366432205212118, 0.6980166666666671, 0.8485714285714286, 0.7840211111111114]",0.2769230769230769,10,crossover,CCCC(=O)NN1c2ccccc2Sc2cc(OS(=O)(=O)C(N)=O)ccc21,CNc1ccc2c(c1)N(CCN1CCN(C)CC1)c1ccccc1S2
74,35,CN1c2ccccc2Sc2ccc(S(=O)(=O)N(C)C)cc21,"[0.2880767265212121, 0.611566666666667, 0.2901428571428572, 0.5104755555555559]",0.5052631578947369,10,crossover,Cc1ccc(S(=O)(=O)N(C)C)cc1NC(=O)c1ccccn1,CN(C)S(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(C(N)=O)CC1)c1ccccc1S2
